region,population,elect_votes
alabama,4849377,9
alaska,737732,3
arizona,6731484,11
arkansas,2994079,6
california,38802500,55
colorado,5355856,9
connecticut,3596677,7
delaware,935614,3
florida,19893297,29
georgia,10097343,16
hawaii,1419561,4
idaho,1634464,4
illinois,12880580,20
indiana,6596855,11
iowa,3107126,6
kansas,2904021,6
kentucky,4413457,8
louisiana,4649676,8
maine,1330089,4
maryland,5976407,10
massachusetts,6745408,11
michigan,9909877,16
minnesota,5457173,10
mississippi,2984926,6
missouri,6063589,10
montana,1023579,3
nebraska,1881503,5
nevada,2839099,6
new hampshire,1326813,4
new jersey,8938175,14
new mexico,2085572,5
new york,19746227,29
north carolina,9943964,15
north dakota,739482,3
ohio,11594163,18
oklahoma,3878051,7
oregon,3970239,7
pennsylvania,12787209,20
rhode island,1055173,4
south carolina,4832482,9
south dakota,853175,3
tennessee,6549352,11
texas,26956958,38
utah,2942902,6
vermont,626011,3
virginia,8326289,13
washington,7061530,12
west virginia,1850326,5
wisconsin,5757564,10
wyoming,584153,3
