"city","rice2003","rice2009"
"Amsterdam",9,11
"Athens",19,27
"Auckland",9,13
"Bangkok",25,27
"Barcelona",10,8
"Berlin",16,17
"Bogota",16,21
"Bratislava",28,25
"Brussels",12,11
"Bucharest",21,44
"Budapest",22,65
"Caracas",17,14
"Chicago",7,9
"Copenhagen",5,11
"Dubai",16,16
"Dublin",14,11
"Frankfurt",16,16
"Geneva",7,10
"Helsinki",12,11
"Istanbul",34,43
"Jakarta",20,47
"Johannesburg",14,17
"Kiev",28,32
"Lima",21,23
"Lisbon",11,9
"Ljubljana",24,20
"London",14,8
"Luxembourg",14,9
"Madrid",12,11
"Manama",19,25
"Manila",26,38
"Miami",11,10
"Milan",15,21
"Montreal",11,16
"Moscow",18,12
"Mumbai",96,37
"Nairobi",70,49
"Oslo",12,12
"Paris",18,20
"Prague",17,21
"Riga",28,30
"Rome",22,25
"Seoul",38,20
"Singapore",11,17
"Sofia",28,44
"Stockholm",15,17
"Sydney",8,11
"Taipei",12,12
"Tallinn",26,18
"Tokyo",18,21
"Toronto",10,10.5
"Vienna",10,14
"Vilnius",23,74.5
"Warsaw",16,45.5
